,firefly,renilla,column,row,plate,transfection,enhancer,plasmid,allele,batch,DHT
CT1,813,735,1,A,1,1,ct1,1,0,1,1
CT1,791,700,2,A,1,1,ct1,1,0,1,1
CT1,776,742,3,A,1,2,ct1,1,0,1,1
CT1,811,764,4,A,1,2,ct1,1,0,1,1
CT1,734,749,5,A,1,3,ct1,1,0,1,1
CT1,716,732,6,A,1,3,ct1,1,0,1,1
CT1,758,750,7,A,1,4,ct1,1,0,1,1
CT1,766,734,8,A,1,4,ct1,1,0,1,1
CT2,745,698,9,A,1,5,ct2,2,0,1,1
CT2,745,732,10,A,1,5,ct2,2,0,1,1
CT2,514,467,11,A,1,6,ct2,2,0,1,1
CT2,502,456,12,A,1,6,ct2,2,0,1,1
CT2,578,518,1,B,1,7,ct2,2,0,1,1
CT2,556,515,2,B,1,7,ct2,2,0,1,1
CT2,491,461,3,B,1,8,ct2,2,0,1,1
CT2,488,454,4,B,1,8,ct2,2,0,1,1
PSA,3251,1215,5,B,1,9,psa,3,0,1,1
PSA,3653,750,6,B,1,9,psa,3,0,1,1
PSA,4536,910,7,B,1,10,psa,3,0,1,1
PSA,4311,805,8,B,1,10,psa,3,0,1,1
PSA,4085,798,9,B,1,11,psa,3,0,1,1
PSA,4170,817,10,B,1,11,psa,3,0,1,1
PSA,3138,759,11,B,1,12,psa,3,0,1,1
PSA,3243,714,12,B,1,12,psa,3,0,1,1
F35-3-1,1276,550,1,C,1,13,f35-3f,4,0,1,1
F35-3-1,1344,564,2,C,1,13,f35-3f,4,0,1,1
F35-3-1,903,471,3,C,1,14,f35-3f,4,0,1,1
F35-3-1,889,469,4,C,1,14,f35-3f,4,0,1,1
F35-3-1,1349,560,5,C,1,15,f35-3f,4,0,1,1
F35-3-1,1338,540,6,C,1,15,f35-3f,4,0,1,1
F35-3-1,925,467,7,C,1,16,f35-3f,4,0,1,1
F35-3-1,926,489,8,C,1,16,f35-3f,4,0,1,1
F35-3-2,1044,602,9,C,1,17,f35-3f,5,0,1,1
F35-3-2,1161,498,10,C,1,17,f35-3f,5,0,1,1
F35-3-2,1184,507,11,C,1,18,f35-3f,5,0,1,1
F35-3-2,1178,508,12,C,1,18,f35-3f,5,0,1,1
F35-3-2,1104,480,1,D,1,19,f35-3f,5,0,1,1
F35-3-2,1109,481,2,D,1,19,f35-3f,5,0,1,1
F35-3-2,753,434,3,D,1,20,f35-3f,5,0,1,1
F35-3-2,763,433,4,D,1,20,f35-3f,5,0,1,1
F35-3-3,1131,524,5,D,1,21,f35-3f,6,0,1,1
F35-3-3,1163,500,6,D,1,21,f35-3f,6,0,1,1
F35-3-3,1246,511,7,D,1,22,f35-3f,6,0,1,1
F35-3-3,1211,509,8,D,1,22,f35-3f,6,0,1,1
F35-3-3,1126,500,9,D,1,23,f35-3f,6,0,1,1
F35-3-3,1111,486,10,D,1,23,f35-3f,6,0,1,1
F35-3-3,901,484,11,D,1,24,f35-3f,6,0,1,1
F35-3-3,867,460,12,D,1,24,f35-3f,6,0,1,1
F35-3-4,857,569,1,E,1,25,f35-3f,7,0,1,1
F35-3-4,957,482,2,E,1,25,f35-3f,7,0,1,1
F35-3-4,830,456,3,E,1,26,f35-3f,7,0,1,1
F35-3-4,791,437,4,E,1,26,f35-3f,7,0,1,1
F35-3-4,894,432,5,E,1,27,f35-3f,7,0,1,1
F35-3-4,875,442,6,E,1,27,f35-3f,7,0,1,1
F35-3-4,673,449,7,E,1,28,f35-3f,7,0,1,1
F35-3-4,662,435,8,E,1,28,f35-3f,7,0,1,1
F35-3-5,912,445,9,E,1,29,f35-3f,8,0,1,1
F35-3-5,922,448,10,E,1,29,f35-3f,8,0,1,1
F35-3-5,956,449,11,E,1,30,f35-3f,8,0,1,1
F35-3-5,957,439,12,E,1,30,f35-3f,8,0,1,1
F35-3-5,765,434,1,F,1,31,f35-3f,8,0,1,1
F35-3-5,727,422,2,F,1,31,f35-3f,8,0,1,1
F35-3-5,750,427,3,F,1,32,f35-3f,8,0,1,1
